03M415    Wadleigh Secondary School for the Performing & Visual Arts
03M417    Frank Mccourt High School
03M421    West Prep Academy
03M452    P.S. 452
03M479    Beacon High School
03M485    Fiorello H. LaGuardia High School of Music & Art and Performing Arts
03M492    High School for Law, Advocacy and Community Justice
03M494    High School of Arts and Technology
03M505    Edward A. Reynolds West Side High School
03M541    Manhattan / Hunter Science High School
03M859    Special Music School
03M860    Frederick Douglass Academy II Secondary School
03M862    Mott Hall II
04M007    P.S. 007 Samuel Stern
04M012    Tag Young Scholars
04M037    River East Elementary
04M038    P.S. 38 Roberto Clemente
04M050    P.S. 050 Vito Marcantonio
04M057    James Weldon Johnson
04M072    The Lexington Academy
04M083    P.S. 083 Luis Munoz Rivera
04M096    P.S. 096 Joseph Lanzetta
04M102    P.S. 102 Jacques Cartier
04M108    P.S. 108 Assemblyman Angelo Del Toro Educational Complex
04M112    P.S. 112 Jose Celso Barbosa
04M146    P.S. 146 Ann M. Short
04M155    P.S. 155 William Paca
04M171    P.S. 171 Patrick Henry
04M182    The Bilingual Bicultural School
04M206    P.S. 206 Jose Celso Barbosa
04M224    M.S. 224 Manhattan East School for Arts & Academics
04M372    Esperanza Preparatory Academy
04M375    Mosaic Preparatory Academy
04M377    Renaissance School of the Arts
04M406    Global Technology Preparatory
04M409    Coalition School for Social Change
04M435    Manhattan Center for Science and Mathematics
04M495    Park East High School
04M497    Central Park East I
04M555    Central Park East High School
04M610    Young Women's Leadership School
04M680    Heritage School, The
04M825    Isaac Newton Middle School for Math & Science
04M964    Central Park East II
05M030    P.S. 030 Hernandez/Hughes
05M036    P.S. 036 Margaret Douglas
05M046    P.S. 046 Arthur Tappan
05M092    P.S. 092 Mary McLeod Bethune
05M123    P.S. 123 Mahalia Jackson
05M125    P.S. 125 Ralph Bunche
05M129    P.S. 129 John H. Finley
05M133    P.S. 133 Fred R Moore
05M148    Eagle Academy for Young Men of Harlem
05M154    P.S. 154 Harriet Tubman
05M157    The Urban Assembly School for Global Commerce
05M161    P.S. 161 Pedro Albizu Campos
05M175    P.S. 175 Henry H Garnet
05M194    P.S. 194 Countee Cullen
05M197    P.S. 197 John B. Russwurm
05M200    P.S. 200- The James Mccune Smith School
05M285    Harlem Renaissance High School
05M286    Urban Assembly Academy for Future Leaders
05M302    KAPPA IV
05M304    Mott Hall High School
05M318    Thurgood Marshall Academy Lower School
05M362    Columbia Secondary School
05M367    Academy for Social Action
05M369    Urban Assembly School for the Performing Arts
05M499    Frederick Douglass Academy
05M514    New Design Middle School
